"Pos.","N°","Nombre","Puntos","LIGA","CLUB","MOTO","Vueltas","Total T°","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Comentario"
"1","34","Juan Sebastian CALDERON ROJAS","15","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Sherco","9","1:02:38.815","JUVENIL","6:19.496","3","",""
"2","84","Jose Alejandro MOYANO MORENO","13","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Beta","9","1:03:40.882","JUVENIL","5:43.995","9","1:02.067",""
"3","20","Jeronimo MESA ESPINEL","11","Bogotá D.C.","Xspeed Racing","KTM","9","1:04:55.416","JUVENIL","6:10.692","3","2:16.601",""
"4","11","Juan Martin TARQUINO SUAREZ","10","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","9","1:08:40.868","JUVENIL","6:32.170","1","6:02.053",""
"5","274","Andres Santiago PEREZ DIAZ","9","Bogotá D.C.","Todo terreno track","KTM","8","1:03:24.055","JUVENIL","7:07.062","2","1 Vuelta",""
"6","710","Juan David MENDOZA DUARTE","8","Meta","VILLAVICENCIO RACING CLUB","Husqvarna","8","1:03:44.458","JUVENIL","6:27.842","1","1 Vuelta",""
"7","221","Juan José Pérez Murcia","7","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","GasGas","8","1:05:18.610","JUVENIL","6:41.309","4","1 Vuelta",""
"8","28","Maria Paula SCARPATI SARMIENTO","6","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","7","1:11:27.462","JUVENIL","8:58.328","3","2 Vueltas",""
"9","49","Martin ARIAS","5","Valle del Cauca","Club VALLE","Husqvarna","3","1:29:52.493","JUVENIL","19:53.114","1","6 Vueltas",""
"NT","526","Iván Andrés Ramírez Berrio","0","Cesar","K-LIMA RACING","KTM","2","26:12.004","JUVENIL","2:52.137","1","NT",""
