"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","LIGA","CLUB","MOTO","R1. ","R2. "
"1","207","David Alejandro FORERO ZAPATA","SM novatos - Metzeler","28","0","Putumayo","TEAM RACING MOCOA","Husqvarna","15","13"
"2","387","Germán Darío OLAYA CACERES","SM novatos - Metzeler","24","4","Tolima","CLUB COYOLA RACING TEAM","Husqvarna","13","11"
"3","314","Andres Felipe GONZALEZ CIFUENTES","SM novatos - Metzeler","19","9","Meta","SUTA RACING CLUB","KTM","9","10"
"4","909","Javier ARIAS CASTAÑEDA","SM novatos - Metzeler","15","13","Antioquia","CLUB LOS PASKINES","KTM","0","15"
"5","144","John Andrés VIVAS VARON","SM novatos - Metzeler","15","13","Valle del Cauca","Dos Ruedas Racing Team","Husqvarna","7","8"
"6","683","Brayan Smith LEAL ARIAS","SM novatos - Metzeler","15","13","Tolima","CLUB PISTON RACING","Husqvarna","11","4"
"7","81","Juan Pablo RUIZ ALVAREZ","SM novatos - Metzeler","14","14","Tolima","GR 522 RACING","Husqvarna","8","6"
"8","50","Jorge Andrés ORTEGON CHACON","SM novatos - Metzeler","13","15","Tolima","GR 522 RACING","Husqvarna","6","7"
"9","928","Luis Carlos POLANCO GAMBOA","SM novatos - Metzeler","10","18","Huila","CLUB MOTO JAPONESA","Husqvarna","10","0"
"10","160","Jose Angel MORENO VARON","SM novatos - Metzeler","9","19","Tolima","CLUB MOTORBIKE","Husqvarna","0","9"
"11","343","Juan Pablo BURBANO GOMEZ","SM novatos - Metzeler","8","20","Putumayo","TEAM RACING MOCOA","Husqvarna","5","3"
"12","938","Luis Alejandro BALLEN CORTES","SM novatos - Metzeler","5","23","Cundinamarca","CLUB IGUANA RACING GIRARDOT","KTM","0","5"
"13","596","Juan David PIEDRAHITA PINEDA","SM novatos - Metzeler","5","23","Quindío","CLUB MONSTER GARAGE","Husqvarna","3","2"
"14","85","Yesid ESPITIA CIFUENTES","SM novatos - Metzeler","4","24","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","4","0"
"15","631","Johan GOMEZ PEREZ","SM novatos - Metzeler","2","26","Quindío","","","2","--"
"16","249","Ricardo ORTEGON GUZMAN","SM novatos - Metzeler","2","26","Tolima","CLUB BUNDE ESPINAL","Husqvarna","1","1"
"17","330","Mauricio VIEIRA SOTO","SM novatos - Metzeler","1","27","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","Honda","0","1"
"18","607","Michael Stevens CADENA PINEDA","SM novatos - Metzeler","1","27","Cundinamarca","CLUB IGUANA RACING GIRARDOT","Husqvarna","0","1"
"19","837","Andrei Ricardo LOPEZ LEON","SM novatos - Metzeler","1","27","Bogotá D.C.","Todo terreno track","Husqvarna","1","0"
"20","697","Jose Armando BARBOSA ESCOBAR","SM novatos - Metzeler","1","27","Cesar","K-LIMA RACING","Husqvarna","1","0"
"21","889","Gustavo Adolfo RUGELES URBINA","SM novatos - Metzeler","0","28","Bogotá D.C.","Racing pilots Academy","KTM","0","0"
"22","995-E","Gerardo GOMEZ ARCE","SM novatos - Metzeler","0","28","Bogotá D.C.","Club BOGOTA","Husqvarna","0","0"
"23","751","Daniel ARCILA MAYA","SM novatos - Metzeler","0","28","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","KTM","0","0"
"24","27","Lisandro VASQUEZ RAMIREZ","SM novatos - Metzeler","0","28","Valle del Cauca","","","0","0"
"25","492","Richard QUEZADA QUINTERO","SM novatos - Metzeler","0","28","Quindío","CLUB MONSTER GARAGE","Husqvarna","0","0"
"26","132","Juan Sebastian BUITRAGO CHAVES","SM novatos - Metzeler","0","28","Cundinamarca","CLUB SCOOTER PERFORMANCE GIRARDOT","Husqvarna","0","0"
"27","799","Michael Samuel SARMIENTO PEDRERO","SM novatos - Metzeler","0","28","Tolima","CLUB MOTORBIKE","Honda","0","0"
"28","727","Diego René CANON CANTOR","SM novatos - Metzeler","0","28","Cundinamarca","MOTO CLUB MRACING LA VEGA","KTM","0","0"
"29","151","Juan Pablo JARAMILLO OCAMPO","SM novatos - Metzeler","0","28","Antioquia","CLUB LOS PASKINES","Honda","0","0"
"30","53","Adrian Arlex GUERRERO FERNANDEZ","SM novatos - Metzeler","0","28","Tolima","GR 522 RACING","Husqvarna","0","0"
