"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","FN/RH","Q ","R1 ","R2 "
"1","111","Martin OSPINA CUELLO","85 cc Mini","33","0","Yamaha","Bogotá D.C.","Xspeed Racing","","3","15","15"
"2","120","Matias GOMEZ ORJUELA","85 cc Mini","25","8","KTM","Bogotá D.C.","Todo terreno track","","2","13","10"
"3","413","Samuel Emilio CAMACHO PAEZ","85 cc Mini","21","12","GasGas","Bogotá D.C.","Xspeed Racing","","1","9","11"
"4","626","Juan Antonio PIEDRAHITA VARELA","85 cc Mini","21","12","GasGas","Risaralda","CLUB LOS GUEPARDOS","","1","11","9"
"5","121","Martin LONDOÑO VARGAS","85 cc Mini","19","14","Husqvarna","Bogotá D.C.","Xspeed Racing","","1","10","8"
"6","420","Esteban ARCILA ACEVEDO","85 cc Mini","15","18","KTM","Risaralda","CLUB LOS GUEPARDOS","","1","7","7"
"7","888","Maximiliano YEPES ZAMORANO","85 cc Mini","15","18","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","8","6"
"8","139","Valentino ZULETA CARDONA","85 cc Mini","14","19","KTM","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","","1","0","13"
"9","35","Juan Angel MORALES GALLEGO","85 cc Mini","12","21","Yamaha","Antioquia","CLUB GRILLOS RACING","","1","6","5"
"10","805","Adrian Roberto HERMIDA GONZALEZ","85 cc Mini","10","23","KTM","Bogotá D.C.","Todo terreno track","","1","5","4"
"11","28","Sofia ESCOBAR HINCAPIE","85 cc Mini","5","28","Husqvarna","Caldas","CLUB VILLAMARIA RACING CLUB","","1","4","0"
