"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R1 ","R2 "
"1","53","Simón RESTREPO GUZMAN","MX PRE-EXPERTOS","33","0","Yamaha","Antioquia","CLUB MOTOCROSS YARUMAL","3","15","15"
"2","29","Jeronimo PIEDRAHITA HINCAPIE","MX PRE-EXPERTOS","24","9","Honda","Caldas","CLUB DE MOTOCICLISMO JP36","1","10","13"
"3","34","Omar Andres HOYOS RIVERA","MX PRE-EXPERTOS","24","9","Yamaha","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","2","13","9"
"4","811","SEBASTIAN LOPEZ MONCAYO","MX PRE-EXPERTOS","22","11","Honda","Nariño","CLUB BUFALO XTREM PARK","1","11","10"
"5","529","Esteban GONZALEZ LOPEZ","MX PRE-EXPERTOS","19","14","KTM","Valle del Cauca","Club VALLE","1","7","11"
"6","336-E","DAVID ALEJANDRO IBARRA ECHEVERRY","MX PRE-EXPERTOS","18","15","Yamaha","Putumayo","CLUB EXTREME RACING","1","9","8"
"7","454","Mateo ALVAREZ GONZALEZ","MX PRE-EXPERTOS","9","24","LGP Mobility","Antioquia","CLUB ANTIOQUIA 2 RUEDAS RACER","1","8","0"
"8","221","Peter FRISH KLEVER","MX PRE-EXPERTOS","1","32","Yamaha","Cesar","VIRUS RACING","1","0","0"
"9","269","Jhon santiago HERNANDEZ BERMUDEZ","MX PRE-EXPERTOS","1","32","Husqvarna","Valle del Cauca","Carasucias","1","0","0"
