"Pos.","N°","Nombre","Clase","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","59","Carlos Andres Urrea Henao","Supermoto","Yamaha","59.432","12","7","15","","",""
"2","64-E","Nicolas EUSSE LONDOÑO","Supermoto","Yamaha","59.804","12","7","13","10.066","10.066",""
"3","41","Nicolas DUQUE PATIÑO","Supermoto","Husqvarna","1:01.964","12","7","11","27.604","17.538",""
"4","98","Mateo CASTELLANOS CARVAJAL","Supermoto","Yamaha","1:05.739","11","3","10","1 Vuelta","1 Vuelta",""
"5","227","Rigo German SALAZAR CERON","Supermoto","Yamaha","1:06.331","11","1","9","1 Vuelta","11.506",""
"6","721","Juan Andres RODRIGUEZ ARIAS","Supermoto","Husqvarna","1:07.228","11","7","8","1 Vuelta","0.583",""
"7","228","Julián Felipe GALLEGO CORREA","Supermoto","KTM","1:07.482","11","6","7","1 Vuelta","11.346",""
"8","989","Juan David GAVIRIA AGUDELO","Supermoto","Husqvarna","1:08.855","11","5","6","1 Vuelta","23.110",""
"9","204","Andres Felipe LONDOÑO TRUJILLO","Supermoto","Husqvarna","1:13.161","10","4","5","2 Vueltas","1 Vuelta",""
"10","207","David Alejandro FORERO ZAPATA","Supermoto","Husqvarna","1:11.441","10","7","4","2 Vueltas","13.546",""
"11","568-E","Juan Sebastián Arango Giraldo","Supermoto","Yamaha","1:07.505","9","3","3","3 Vueltas","1 Vuelta",""
"NT","528","Juan Andres MARIN ARANGO","Supermoto","Husqvarna","1:09.159","5","4","0","NT","",""
"NT","155","Juan Felipe HERNANDEZ ALZATE","Supermoto","Husqvarna","","","0","0","NT","",""
"NT","166","Johan Camilo GIRALDO RAMIREZ","Supermoto","Yamaha","","","0","0","NT","",""
"NT","375","Wilderman RAMIREZ","Supermoto","Husqvarna","","","0","0","NT","",""
