"Pos.","N°","Nombre","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Puntos","Total T°","Comentario"
"1","172","Brian Stiven ALVAREZ GRISALES","200 Novatos","1:33.761","5","","","15","14:59.623",""
"2","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","1:35.659","4","14.533","14.533","13","15:14.156",""
"3","88","Edison SAntiago GONZALEZ VELOZA","200 Novatos","1:35.680","2","1:17.362","1:02.829","11","16:16.985",""
"4","92","Nelson Osorio","200 Novatos","1:38.850","5","1:19.185","1.823","10","16:18.808",""
"5","81","Santiago Garcés Jiménez","200 Novatos","1:41.826","8","1:31.633","12.448","9","16:31.256",""
"6","O-730","","200 Novatos","1:43.093","8","1:37.466","5.833","8","16:37.089",""
"7","24","Esteban CARDENAS RUIZ","200 Novatos","1:42.509","4","1:41.723","4.257","7","16:41.346",""
"8","225","Andres Felipe RAMIREZ CORTES","200 Novatos","1:42.412","1","1 Vuelta","1 Vuelta","6","16:13.572",""
"9","112","Jonathan Echeverry Toro","200 Novatos","1:39.228","5","1 Vuelta","53.504","5","17:07.076",""
"10","91","Sergio Martinez Aguirre","200 Novatos","1:35.197","1","2 Vueltas","1 Vuelta","4","17:03.696",""
"NT","O-90","Carlos Andres Pinilla","200 NOVATOS","","0","NT","","0","",""
"NT","217","Hector Fabio Restrepo","200 Novatos","","0","NT","","0","",""
