"Pos.","N°","Nombre","Puntos","LIGA","MOTO","CLUB","Clase","Mejor Tm","En Vuelta","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","228","Jeronimo DAMELINES LOAIZA","3","Risaralda","GasGas","CLUB LOS GUEPARDOS","Libre pro","1:03.126","6","","",""
"2","114","Miguel Angel LOPEZ MARTINEZ","2","Quindío","Husqvarna","CLUB RUTEROS DEL QUINDIO","Libre pro","1:04.612","7","1.486","1.486",""
"3","199","Nicolas Felipe REY REY","1","Cundinamarca","KTM","CLUB IGUANA RACING GIRARDOT","Libre pro","1:05.853","4","2.727","1.241",""
"4","814","Abel Eduardo CARABALI CARABALI","1","Valle del Cauca","Yamaha","Carasucias","Libre pro","1:08.273","3","5.147","2.420",""
"5","563","Jhon Jader Valero Palencia","1","Cauca","Yamaha","CLUB CORONA CLUB XTREME PARK","Libre pro","1:08.379","1","5.253","0.106",""
"6","710","Juan David MENDOZA DUARTE","1","Meta","KTM","VILLAVICENCIO RACING CLUB","Libre pro","1:08.470","3","5.344","0.091",""
"7","937","Jose Miguel MAYOR BEDOYA","1","Valle del Cauca","KTM","Carasucias","Libre pro","1:09.164","4","6.038","0.694",""
"8","630","Samuel Andres PINTO DUARTE","1","Meta","Yamaha","VILLAVICENCIO RACING CLUB","Libre pro","1:09.189","2","6.063","0.025",""
"9","29","Jeronimo PIEDRAHITA HINCAPIE","1","Caldas","Honda","CLUB DE MOTOCICLISMO JP36","Libre pro","1:09.852","1","6.726","0.663",""
"10","722","Alan HERNANDEZ RABE","1","Valle del Cauca","Sherco","Carasucias","Libre pro","1:10.042","1","6.916","0.190",""
"11","229","Rubén Dario peña hoyos","1","Valle del Cauca","Yamaha","Carasucias","Libre pro","1:11.651","7","8.525","1.609",""
"12","411","Juan Sebastian GIRON CARVAJAL","1","Risaralda","Husqvarna","CLUB LOS GUEPARDOS","Libre pro","1:11.925","1","8.799","0.274",""
"13","811","SEBASTIAN LOPEZ MONCAYO","1","Nariño","Yamaha","CLUB DEPORTIVO BUFALO XTREM","Libre pro","1:11.946","4","8.820","0.021",""
"14","627","Leonel giraldo jaramillo","1","Tolima","Yamaha","GR 522 RACING","Libre pro","1:12.423","1","9.297","0.477",""
