"Pos.","N°","Nombre","Clase","Total puntos","Dif. resp. 1°","MOTO","LIGA","CLUB","Q ","R2. ","R3. "
"1","108","Juan José López","200 Novatos","32","0","Honda","Caldas","CLUB VILLAMARIA RACING CLUB","2","15","15"
"2","91","Sergio Martinez Aguirre","200 Novatos","27","5","Honda","Caldas","CLUB VILLAMARIA RACING CLUB","3","13","11"
"3","88","Edison SAntiago GONZALEZ VELOZA","200 Novatos","25","7","Honda","Tolima","CLUB PISTON RACING","1","11","13"
"4","172","Brian Stiven ALVAREZ GRISALES","200 Novatos","18","14","Honda","Tolima","CLUB PISTON RACING","1","10","7"
"5","92","Nelson Osorio","200 Novatos","17","15","Yamaha","Valle del Cauca","Carasucias","1","7","9"
"6","26","Rene Alberto ACOSTA CRIOLLO","200 Novatos","17","15","Husqvarna","Quindío","CLUB RUTEROS DEL QUINDIO","1","8","8"
"7","24","Esteban CARDENAS RUIZ","200 Novatos","12","20","Yamaha","Quindío","CLUB RUTEROS DEL QUINDIO","1","5","6"
"8","81","Santiago Garcés Jiménez","200 Novatos","11","21","Yamaha","Cauca","CLUB CORONA CLUB XTREME PARK","1","0","10"
"9","217","Hector Fabio Restrepo","200 Novatos","10","22","Yamaha","Valle del Cauca","Carasucias","1","9","0"
"10","112","Jonathan Echeverry Toro","200 Novatos","7","25","Yamaha","Caldas","CLUB VILLAMARIA RACING CLUB","1","6","0"
"11","216","Carlos Mario HERNANDEZ RAMIREZ","200 Novatos","1","31","Honda","Quindío","CLUB MONSTER GARAGE","1","--","--"
