"Pos.","N°","Nombre","Clase","LIGA","CLUB","MOTO","Mejor Tm","Vueltas","En Vuelta","Puntos","Dif. resp. 1°","Dif. resp. anterior","Comentario"
"1","336","DAVID ALEJANDRO IBARRA ECHEVERRY","Libre novatos","Putumayo","CLUB EXTREME RACING","Kymco","1:13.976","6","2","3","","",""
"2","264","Gelber eduardo acosta lopez","Libre novatos","Putumayo","CLUB EXTREME RACING","KTM","1:14.166","6","3","2","0.633","0.633",""
"3","444","Faber Andres Giraldo","Libre novatos","Cauca","","","1:18.108","6","6","1","5.877","5.244",""
"4","61","Luis Fernando LOPEZ","Libre novatos","Putumayo","CLUB EXTREME RACING","Husqvarna","1:09.155","6","5","1","7.063","1.186",""
"5","81","Santiago Garcés Jiménez","Libre novatos","Cauca","CLUB CORONA CLUB XTREME PARK","Yamaha","1:16.887","6","6","1","42.297","35.234",""
"6","317","Andrés Parmenio MORENO ZARATE","Libre novatos","Putumayo","CLUB EXTREME RACING","Husqvarna","1:33.097","4","2","1","2 Vueltas","2 Vueltas",""
"NT","832","Roberto Carlos Campaña Cuellar","Libre novatos","Putumayo","","","4:18.922","2","2","0","NT","",""
"NT","58","Diego Ignacio ROJAS ROSERO","Libre novatos","Nariño","","","6:04.115","2","2","0","NT","",""
"NT","175-E","JHONIER ALEJANDRO CRUZ JUAJIBIOY","Libre novatos","Putumayo","CLUB EXTREME RACING","Yamaha","","","0","0","NT","",""
"NT","111","Víctor Sebastian Termal Hernández","Libre novatos","Nariño","CLUB MOTEROS RIDERS LA UNION","Yamaha","","","0","0","NT","",""
"NT","610-E","Jhon Sebastián agredo","Libre novatos","Putumayo","CLUB EXTREME RACING","KTM","","","0","0","NT","",""
